Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34638484,"Æschylus - The Libation Bearers: from The Oresteia Trilogy. ""Of all the gods only death does not desire gifts""",Æschylus,"Æschylus, Æschylus",,"=""1787371409""","=""9781787371408""",3,3.81,Scribe Publishing,Paperback,40,2017,-458,2023/01/01,2023/01/26,,,read,,,,1,0
1524,"Agamemnon (Oresteia, #1)",Aeschylus,"Aeschylus, Aeschylus","Philip de May, P.E. Easterling","=""0521010756""","=""9780521010757""",4,3.84,Cambridge University Press,Paperback,144,2003,-472,2023/01/01,2023/01/26,,,read,,,,1,0
8726277,"Life-Study of Job, Proverbs, Ecclesiastes, and Song of Songs",Witness Lee,"Lee, Witness",,"=""0736350179""","=""9780736350174""",3,4.76,,Kindle Edition,432,,1996,2023/01/01,2023/01/26,,,read,,,,1,0
150253,"If Not, Winter: Fragments of Sappho",Sappho,"Sappho, Sappho",Anne Carson,"=""1844080811""","=""9781844080816""",4,4.43,Virago,Paperback,416,2003,-550,2023/01/01,2023/01/26,,,read,,,,1,0
667,Anthem,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0452281253""","=""9780452281257""",4,3.61,NAL,Paperback,105,1999,1938,2022/07/06,2022/07/06,,,read,Counterfeit plot but decent writing.,,,1,0
210454,Justinian,H.N. Turteltaub,"Turteltaub, H.N.",,"=""0812545273""","=""9780812545272""",4,3.80,Tor Books,Mass Market Paperback,640,1999,1998,,2022/06/15,,,read,too cocky,,,2,0
48717744,"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan,"Riordan, Rick",,"=""1484746457""","=""9781484746455""",4,4.47,Disney-Hyperion Books,Hardcover,416,2020,2020,,2022/06/13,,,read,Pretty climactic final battle,,,1,0
1186995,Cliffs Notes on Greek Classics,Mary Ellen Snodgrass,"Snodgrass, Mary Ellen",,"=""0822005662""","=""9780822005667""",4,3.94,Cliff Notes,Paperback,429,1988,1988,,2022/06/03,,,read,,,,1,0
56304131,進撃の巨人 34 [Shingeki no Kyojin 34],Hajime Isayama,"Isayama, Hajime",諫山創,"=""4065234174""","=""9784065234174""",5,4.53,講談社,Paperback,192,2021,2021,2022/01/01,2022/06/03,,,read,,,,1,0
54865124,進撃の巨人 33 [Shingeki no Kyojin 33],Hajime Isayama,"Isayama, Hajime",諫山創,"=""4065220297""","=""9784065220290""",0,4.64,講談社,Paperback,192,2021,2021,2022/01/01,2022/06/03,,,read,,,,1,0
52431850,進撃の巨人 32 [Shingeki no Kyojin 32],Hajime Isayama,"Isayama, Hajime",諫山創,"=""4065203228""","=""9784065203224""",0,4.56,講談社,Paperback,192,2020,2020,2022/01/01,2022/06/03,,,read,,,,1,0
48722104,進撃の巨人 31 [Shingeki no Kyojin 31],Hajime Isayama,"Isayama, Hajime",諫山創,"=""4065186897""","=""9784065186893""",0,4.60,講談社,Paperback,192,2020,2020,2022/01/01,2022/06/03,,,read,,,,1,0
